Open,High,Low,Close,Volume,ema_200,ema_9,ema_21,ema_55,ema_100,supertrend,hma_100,psar,rsi_14,macd,macd_signal,macd_hist,hlc3,esa,d,ci,tci,wt1,wt2,k,bb_upper,bb_middle,bb_lower,atr_1,long_stop,short_stop,stddev,upper_rvi,lower_rvi,rvi,obv,mf_mult,mf_vol,cmf,buy_signal,sell_signal
936.0,939.7,924.45,932.7,5236124,,,,,,932.7,,939.7,,,,,932.2833333333334,,,,,,,,,,,15.25,911.4875000000001,952.6625,,,,,5236124,0.08196721311475409,429190.4918032787,,False,False
931.25,934.85,924.65,930.55,4511360,,,,,,930.55,,934.85,,,,,930.0166666666668,,,,,,,,,,,10.200000000000045,915.9799999999999,943.5200000000001,,,,,724764,0.1568627450980296,707664.3137254468,,False,False
923.6,938.0,920.75,928.7,7721730,,,,,,928.7,,920.75,,,,,929.15,,,,,,,,,,,17.25,906.0875,952.6625,,,,,-6996966,-0.07826086956521212,-604309.3043477854,,False,False
921.9,925.6,913.25,924.0,5730939,,,,,,924.0,,925.6,,,,,920.9499999999999,,,,,,,,,,,15.450000000000045,897.0174999999999,941.8325000000001,,,,,-12727905,0.7408906882591061,4245999.340080953,,False,False
914.95,919.7,906.7,917.7,6904960,,,,,,917.7,,938.0,,,,,914.7000000000002,,,,,,,,,,,17.299999999999955,887.6950000000002,938.7049999999999,,,,,-19632865,0.6923076923076923,4780356.923076923,,False,False
940.45,941.75,911.7,913.15,10008273,,,,,,913.15,,911.7,,,,,922.1999999999999,,,,,,,,,,,30.049999999999955,886.1575,967.2925,,,,,-29641138,-0.9034941763727166,-9042416.371048298,,False,False
935.5,937.45,923.0,934.15,9083608,,,,,,934.15,,906.7,,,,,931.5333333333333,,,,,,,,,,,24.300000000000068,892.4949999999999,967.9550000000002,,,,,-20557530,0.5432525951557013,4934693.61937709,,False,False
949.35,949.7,924.0,935.55,8661375,,,,,,935.55,,907.4010000000001,,,,,936.4166666666666,,,,,,,,,,,25.700000000000045,902.155,971.5450000000001,,,,,-11896155,-0.10116731517510241,-876248.0544747526,,False,False
953.0,955.75,942.8,949.75,7100355,,932.6508240640003,,,,949.75,,909.0929600000001,,,,,949.4333333333334,932.8036175360003,,,,,,,,,,20.200000000000045,918.3799999999999,980.1700000000001,,,,,-4795800,0.07335907335907661,520875.4633204864,,False,False
964.0,964.0,942.75,952.15,7140150,,936.5506592512003,,,,893.0649999999999,,911.8923824000001,,,,,952.9666666666667,936.8362273621336,,,,,,,,,,21.25,924.6875,982.0625,,,,,2344350,-0.11529411764706096,-823217.2941176624,,False,False
946.8,960.0,941.35,958.75,7025747,,940.9905274009602,,,,899.9784999999999,,916.060991808,,,,,953.3666666666667,940.1423152230403,,,,,,,,,,18.649999999999977,925.4975000000001,975.8525,,,,,9370097,0.8659517426273456,6083957.857908846,,False,False
946.55,950.95,934.3,939.9,5787783,,940.7724219207682,,,,879.6706499999999,,919.89611246336,,,,,941.7166666666667,940.4571855117657,,,,,,,,,,24.450000000000045,905.7175,979.5325,13.693237520319213,,,,3582314,-0.3273273273273283,-1894499.540540546,,False,False
960.0,961.9,938.25,949.55,6998980,,942.5279375366147,,,,888.2485849999999,,923.4244234662913,,,,,949.9,942.3457484094126,,,,,,,,,,23.649999999999977,918.1475,982.0024999999999,14.31334141366862,,,,10581294,-0.04439746300211709,-310736.95560255746,,False,False
963.5,970.0,955.0,957.45,9059392,,945.5123500292918,,,,896.1437265,,926.670469588988,64.49638093003642,,,,960.8166666666666,946.0399320608635,,,,,,80.17377567140606,,,,20.450000000000045,932.1674999999999,992.8325000000001,15.418908108965622,,,,19640686,-0.6733333333333272,-6099990.613333278,,False,False
944.75,965.6,942.6,962.3,6927819,,948.8698800234336,,,,900.2243538499999,,931.0034226300892,66.86475576120057,,,,956.8333333333334,948.1986123153575,,,,,,87.8357030015797,,,,23.0,923.0500000000001,985.15,16.509528928910825,,,,26568505,0.7130434782608637,4939836.156521698,,False,False
932.25,945.0,931.8,941.6,3498198,,947.4159040187469,,,,876.581918465,,945.0,51.17409388520855,,,,939.4666666666667,946.4522231856195,74.3812532912059,,,,,55.13428120063192,,,,30.5,888.575,988.2249999999999,15.599290970678014,,,,23070307,0.4848484848484901,1696096.0000000184,,False,False
941.25,943.5,930.35,933.75,3704449,,944.6827232149976,,,,871.2887266184999,,965.6,46.69868568294619,,,,935.8666666666667,944.335111881829,61.9010005265929,-54.85963627200537,,,,42.7330173775671,,,,13.149999999999977,919.1725,954.6775,13.85451121695038,,,,19365858,-0.48288973384030676,-1788840.3916349905,,False,False
922.8,944.0,915.8,934.55,12204113,,942.6561785719981,,,,869.8748539566499,,964.19,47.20541598766973,,,,931.4499999999999,941.7580895054632,47.288046340178994,-66.75496783140947,,,,43.99684044233796,,,,28.200000000000045,891.8299999999999,967.97,10.490951187484352,,,,31569971,0.32978723404255106,4024760.67021274,,False,False
930.95,937.45,921.3,924.7,5956496,,939.0649428575986,,,,861.647368560985,,961.2866,41.92095112898932,,,,927.8166666666666,938.9698049377039,36.342771360208495,-71.04232509460674,,,,22.298456260720428,,,,16.15000000000009,907.5724999999999,951.1775000000001,11.725923107681972,,,,25613475,-0.5789473684210438,-3448497.6842104737,,False,False
