Timestamp,Open,High,Low,Close,Volume,ema_200,ema_9,ema_21,ema_55,ema_100,supertrend,hma_100,psar,rsi_14,macd,macd_signal,macd_hist,hlc3,esa,d,ci,tci,wt1,wt2,k,bb_upper,bb_middle,bb_lower,atr_1,long_stop,short_stop,stddev,upper_rvi,lower_rvi,rvi,obv,mf_mult,mf_vol,cmf
2024-06-11 13:15:00+05:30,837.2,838.3,835.2,837.9,838655,842.0684064292,837.7667397042,839.3595127184,841.3783046289,842.0508802427,826.0974366282,839.3234664831,841.3029741706,44.831437846,-1.5290201145,-1.1182985054,-0.41072160900000004,837.1333333333,837.538889868,29.5865633075,-14.5908214832,-41.2633611144,-41.2633611144,-44.5029513914,40.6976744186,845.1889482575,839.7075,834.2260517425,3.25,832.2875,841.2125,3.4399282057,1.0994253641,1.3160351998,45.5161794208,-11323318,0.7419354839000001,622227.9032258124,0.09179355600000001
2024-06-11 12:45:00+05:30,835.75,839.6,835.0,837.15,962157,842.0194670617,837.6433917634,839.1586479258,841.2272937493,841.9538331091,825.1476929654,839.0048504192,840.610736237,43.1524994674,-1.5060144448000001,-1.1958416933,-0.3101727515,837.25,837.4811118944,31.3953488372,-10.0791984123,-36.4657976217,-36.4657976217,-42.4774520602,34.8837209302,844.8388261203,839.43,834.0211738797,4.6,831.09,843.51,3.3985513848,0.9528353156,1.5937040245,37.4168700472,-12285475,-0.0652173913,-62749.3695652313,0.0929290764
2024-06-11 12:15:00+05:30,835.25,836.35,834.5,835.75,495629,841.9570843049,837.2647134107,838.8487708416,841.0316761154,841.8309849288,824.1529236689,838.6765184554,839.973877338,40.1312522976,-1.5825084136,-1.2731750374,-0.3093333763,835.5333333333,837.0915561822,33.2041343669,-67.6948369283,-41.2702652074,-41.2702652074,-41.2780844295,24.0310077519,844.7959645849,839.1875,833.5790354151,2.65,831.4475,839.4025,3.3860341511,0.8257906068,1.8326813747,31.0626033512,-12781104,0.3513513514,174139.9189189107,0.09710680590000001
2024-06-11 11:45:00+05:30,836.0,836.55,834.5,835.5,469359,841.8928347098,836.9117707286,838.5443371288,840.8341162541,841.7056188906,824.447631302,838.3469313602,839.6,39.5980999758,-1.6443483218000001,-1.3474096943,-0.2969386276,835.5166666667,836.7765782791,27.0025839793,-56.7670751708,-43.6543898171,-43.6543898171,-40.6634534401,22.0930232558,844.8543294388,839.02,833.1856705612,2.05,832.7575,838.2925,3.2713865099,0.7156851926000001,2.024508726,26.1180490808,-13250463,-0.0243902439,-11447.7804877947,0.0948638338
2024-06-11 11:15:00+05:30,836.05,836.5,834.8,835.8,502588,841.8322094888,836.6894165828,838.2948519352,840.6543263879,841.5886759422,825.3428681718,838.0285948324,839.044,40.6176116036,-1.6501277562,-1.4079533067,-0.2421744495,835.7,836.5612626233,23.5142118863,-42.3447231666,-43.4529026401,-43.4529026401,-41.2108388216,24.4186046512,844.866174885,838.865,832.863825115,1.7,833.355,837.945,2.3864318172,0.9384514092,1.7545742292,34.847474001,-12747875,0.1764705882,88691.9999999842,0.0872394895
2024-06-11 10:45:00+05:30,835.7,836.6,834.25,835.8,510540,841.7721875039,836.5115332663,838.0680472138,840.4809575883,841.4740486959,825.6835813546,837.7275867316,838.53248,40.6176116036,-1.6358509284,-1.453532831,-0.18231809740000002,835.55,836.3590100986,23.6434108527,-43.2660853619,-43.4241615204,-43.4241615204,-42.9504297962,24.4186046512,844.7456203616,838.64,832.5343796384,2.35,832.2525,838.5975,1.5170745372,0.8133245546000001,1.7229076036,32.0682218298,-12237335,0.3191489362,162938.2978723142,0.1137121135
2024-06-11 10:15:00+05:30,835.15,837.55,834.0,835.9,826551,841.7137577774,836.389226613,837.8709520126,840.3173519602,841.363671494,825.7302232191,837.4460312737,838.0618816,41.0025779192,-1.5980459957,-1.4824354639,-0.1156105317,835.8166666667,836.2505414122,26.7460584953,-26.6828917386,-40.848581554,-40.848581554,-42.8450088829,31.4009661836,844.6921983032,838.4775,832.2628016968,3.55,830.9825,840.5675,0.8315739002,0.8157578007,1.4931865898,35.3303355445,-11410784,0.0704225352,58207.8169014092,0.0950353708
2024-06-11 09:45:00+05:30,832.2,837.3,832.15,835.15,1436759,841.6484467548,836.1413812904,837.6235927387,840.1328036759,841.2406284941,824.4522008972,837.1749217628,837.628931072,38.9624505584,-1.6100444559,-1.5079572623,-0.1020871936,834.8666666667,835.9737664631,28.7588078755,-67.797004714,-44.9944928094,-44.9944928094,-43.180034631,30.4568527919,844.4263778993,838.1775,831.9286221007,5.15,827.7725,841.6775,0.8386835825000001,0.7069900939,1.4059195222,33.4604986675,-12847543,0.1650485437,237134.9805825317,0.08703764850000001
2024-06-11 09:15:00+05:30,836.0,836.8,829.05,832.35,2156328,841.5559248965,835.3831050323,837.144175217,839.8548464017,841.0645764447,820.3969808075,836.8823123595,837.55,32.4674929111,-1.8244586973,-1.5712575493,-0.25320114800000004,832.7333333333,835.3256798372,31.0458132762,-124.3884031407,-57.2089405526,-57.2089405526,-46.6190441091,31.2796208531,844.245091883,837.715,831.184908117,7.75,822.4625,843.3875,1.3362657148000001,0.6127247481,1.3966323479,30.493571766,-15003871,-0.1483870968,-319971.2516128652,0.0792480391
2024-06-10 15:15:00+05:30,832.7,832.95,829.2,830.8,1194418,841.4489007682,834.4664840259,836.5674320155,839.5314590303,840.8613175052,818.9172827268,836.5548768218,837.3,29.5326133179,-2.0953022346,-1.6760664864,-0.41923574820000004,830.9833333333,834.4572105364,26.1080504567,-128.2146756402,-68.1328997969,-68.1328997969,-52.7962286782,16.5876777251,844.0957560981,837.1725,830.2492439019,3.75,826.0125,836.1375,1.9457412703,0.531028115,1.4698468709,26.5397947779,-16198289,-0.1466666667,-175181.3066667246,0.0647301528
2024-06-10 14:45:00+05:30,835.05,835.5,832.0,832.7,1413012,841.3618470292,834.1131872207,836.2158472868,839.2874783506,840.6997072576,820.5955544541,836.2169473359,836.8,37.0450064048,-2.1320565475,-1.7672644986000001,-0.3647920489,833.4,834.2457684291,27.4881516588,-34.9307990291,-63.0248842941,-63.0248842941,-58.3403043633,34.5971563981,843.5895101792,836.725,829.8604898208,4.7,826.805,840.695,2.042961865,0.7326192817,1.2738672881,36.5125435037,-14785277,-0.6000000000000001,-847807.1999999633,0.0539849935
2024-06-10 14:15:00+05:30,837.35,838.0,831.0,835.35,1456545,841.3020276558,834.3605497766,836.1371338971,839.1468541238,840.5937724604,822.3559990087,835.9011828806,831.0,45.7344385408,-1.9251597095,-1.7988435408,-0.1263161687,834.7833333333,834.35328141,36.9668246446,20.8153728202,-50.1263831996,-50.1263831996,-59.6232769608,59.7156398104,842.8339497592,836.3925,829.9510502408,7.0,825.05,843.95,2.045630043,0.9076873832000001,1.1040183163,45.120286899,-13328732,0.24285714290000002,353732.3571428666,0.0644256995
2024-06-10 13:45:00+05:30,838.5,839.0,836.7,837.45,604710,841.2636990224,834.9784398212,836.256485361,839.0862521908,840.5315195404,824.6603991078,835.6304464305,831.0,51.4529401629,-1.5736005377,-1.7537949401,0.18019440250000002,837.7166666667,835.0259584613,57.9778830964,109.3767481348,-25.5874399174,-25.5874399174,-51.717901802,79.6208530806,841.1259992911,836.0125,830.8990007089,3.65,832.2475,843.4525,1.9912878428,1.0521674445,0.9568158742,52.3731299664,-12724022,-0.347826087,-210333.9130434705,0.0556641592
2024-06-10 13:15:00+05:30,835.2,838.5,835.2,838.4,537941,841.2352045048,835.662751857,836.4513503282,839.061743184,840.4893112327,825.899359197,835.4115884965,831.0,53.8235884276,-1.2044461947,-1.6439251911000001,0.43947899640000004,837.3666666667,835.4941001024,75.9873617694,74.0203584584,-10.2631632442,-10.2631632442,-37.2504676638,88.6255924171,839.9629301095,835.785,831.6070698905,3.3,832.395,841.305,2.1423710668,1.1975279274,0.8292404243,59.0855845184,-12186081,0.9393939394,505338.5151515073,0.055085002300000005
2024-06-10 12:45:00+05:30,836.5,838.0,835.2,835.3,500715,841.1761477435,835.5902014856,836.3466821165,838.9273952131,840.3865525944,823.0894232773,835.2069635305,831.32,45.9400928271,-1.1487902713,-1.5448982071,0.39610793580000003,836.1666666667,835.6286134152,75.8293838863,24.6219839211,-4.8962175265,-4.8962175265,-22.7183009719,59.2417061611,839.1006817532,835.525,831.9493182468,3.2,832.08,841.12,2.1334812922,1.0378575371,1.0031392067,50.850523906,-12686796,-0.9285714286000001,-464949.6428571748,0.043492162300000005
2024-06-10 12:15:00+05:30,834.1,836.7,834.0,836.4,542250,841.1286238854,835.7521611885,836.3515291968,838.8371310984,840.3076109589,824.6004809496,835.0284889924,831.6272,48.8054926112,-1.0043442884,-1.4367874234,0.43244313500000003,835.7,835.6428907322,73.912215104,3.2350345942,-3.6452556617,-3.6452556617,-11.0980190874,73.8693467337,839.0563236969,835.505,831.9536763031,2.7,831.705,838.995,2.1666200461,1.188359205,0.8693873124,57.7505146976,-12144546,0.7777777778,421749.9999999746,0.0527506742
2024-06-10 11:45:00+05:30,836.7,837.5,833.55,834.25,760355,841.0601798666,835.4517289508,836.160481088,838.6733049877,840.1876582666,822.4454328546,834.8523141738,831.922112,43.9068813439,-1.0512388113,-1.3596777009,0.3084388897,835.1,835.5343125857,61.7907864758,-28.1552483778,-7.4160237719,-7.4160237719,-6.5551650511,52.2613065327,839.0357262662,835.4425,831.8492737338,3.95,830.1925,840.8575,2.1683807323,1.029911311,1.0425864351,49.694206565,-12904901,-0.6455696203,-490862.0886075805,0.036772222
2024-06-10 11:15:00+05:30,836.2,838.5,835.6,836.7,563091,841.0167949923,835.7013831606,836.2095282618,838.6028298096,840.1185957267,824.8008895692,834.7069613385,832.20522752,50.0583582669,-0.8805580094000001,-1.2638537626,0.38329575320000003,836.9333333333,835.8141167353,67.6716917923,71.2960470164,4.6935255801,4.6935255801,-2.8159928450000002,76.8844221106,839.1420942002,835.5075,831.8729057998,4.25,830.6375,843.4625,2.2141204903,1.1878058682000001,0.9035749104,56.7952943033,-12341810,-0.2413793103,-135918.5172413671,0.0406413604
2024-06-10 10:45:00+05:30,836.25,838.6,835.0,836.2,920160,840.9688666839,835.8011065285,836.2086620562,838.5170144592,840.0409997717,824.4108006123,834.5852431796,832.4770184192,48.8802324356,-0.7766849253,-1.1664199952,0.3897350699,836.6,835.9712933882,67.0016750419,43.5252347327,10.6676346805,10.6676346805,1.0749702068,71.8592964824,839.1182444025,835.495,831.8717555975,3.6,831.94,841.66,2.2260977884,1.0294317525,1.0799112941,48.803429775,-13261970,-0.33333333330000003,-306719.9999999806,0.0224467216
2024-06-10 10:15:00+05:30,838.8,840.75,835.2,836.25,1007329,840.9219127866,835.8908852228,836.2124200511,838.4360496571,839.9659304693,823.974720551,834.4836669702,832.7379376824,49.0094701546,-0.682463165,-1.0696286291,0.3871654641,837.4,836.2570347106,70.0940600438,76.2759311244,20.7612187488,20.7612187488,7.1765888094,61.5384615385,839.1865148354,835.555,831.9234851646,5.55,830.4825,845.4675,2.2514094912,1.1923621176,0.9359231216,56.0245448145,-12254641,-0.6216216216,-626177.4864864999,0.0632795189
2024-06-10 09:45:00+05:30,838.0,839.35,834.8,838.95,1321244,840.9022917638,836.5027081782,836.4612909556,838.4544050265,839.9458130342,826.5372484959,834.4241170046,833.2186614215,55.5452449417,-0.3854807242,-0.9327990481,0.547318324,837.7,836.5456277685,72.6710475454,74.7127473599,29.0614539198,29.0614539198,16.2959582323,84.6153846154,839.3998969993,835.6075,831.8151030007,4.55,830.9325,843.2175,2.3030077501,1.340448202,0.811133372,62.3005986923,-10933397,0.8241758242,1088937.3626373792,0.08552456600000001
2024-06-10 09:15:00+05:30,834.15,845.45,832.05,837.85,5805812,840.8719207015,836.7721665426,836.5875372323,838.4328191327,839.904311786,822.6585236463,834.3879425848,845.45,52.5878677422,-0.23615851870000001,-0.7934709423,0.5573124236,838.45,836.9265022148,66.6041275797,89.9820028216,38.4338460585,38.4338460585,24.7310383519,53.6585365854,839.503494043,835.6425,831.781505957,13.4,820.66,856.84,1.7684524993,1.161721775,0.9387759223000001,55.3069768406,-16739209,-0.1343283582,-779885.1940298257,0.033387592800000004
2024-06-07 15:15:00+05:30,829.6,830.4,828.6,829.25,1756572,840.7562796995,835.2677332341,835.920488393,838.1048613065,839.693335315,812.8026712817,834.2806727732,845.45,36.3105430251,-0.8025168076,-0.7952801153,-0.0072366923,829.4166666667,835.4245351051,47.3771626554,-190.3120298955,3.2421728348,3.2421728348,22.8746728905,3.8575667656,840.077255771,835.3175,830.557744229,9.25,813.2875,845.7125,2.5274365682,1.0068255384,1.1505973418,46.6679735169,-18495781,-0.2777777778,-487936.666666679,0.0181848041
2024-06-07 14:45:00+05:30,825.8,831.5,825.75,829.65,4479488,840.6457694537,834.1441865873,835.3504439937,837.8029019742,839.494457388,813.1224041535,834.1161629269,845.45,37.2829086506,-1.2051904892,-0.8772621901000001,-0.3279282991,828.9666666667,834.1329614174,25.7710192219,-126.7687371461,-16.7595056238,-16.7595056238,13.4944917973,19.7969543147,840.3850839546,835.025,829.6649160454,5.75,820.8625,836.3875,3.1303832421,1.2899665655,0.9971843629,56.4005877137,-14016293,0.3565217391,1597034.8521738776,0.0468956995
2024-06-07 14:15:00+05:30,824.55,828.9,824.25,825.75,2296887,840.4975528423,832.4653492698,834.4776763579,837.3724411894,839.222289915,809.2551637382,833.8629034609,844.268,32.1319462238,-1.8180523139,-1.0654202149,-0.752632099,826.3,832.566369134,10.2433309261,-121.9088979549,-32.9363352132,-32.9363352132,-2.0049554859,7.0754716981,841.2161891921,834.5225,827.8288108079,5.4,818.91,834.24,4.1441337692,1.1179710235,1.4167776171,44.1057943807,-16313180,-0.35483870970000003,-815024.4193548315,0.034098462100000004
2024-06-07 13:45:00+05:30,824.25,825.95,822.65,824.6,982145,840.3393682369,830.8922794158,833.5797057799,836.9162825755,838.9327396196,808.7646473644,833.5206976368,842.66656,30.7814732006,-2.369234059,-1.3261829837,-1.0430510753,824.4,830.9330953072,11.8083525306,-107.5921338591,-44.4218426972,-44.4218426972,-22.7188776748,8.5526315789,841.894452786,833.9625,826.030547214,3.3,819.845,828.755,4.8432454527,0.9689082203,1.8736399951,34.0859027492,-17295325,0.1818181818,178571.8181818213,0.035491246500000004
2024-06-07 13:15:00+05:30,825.05,825.35,822.15,824.25,1116585,840.1792750206,829.5638235327,832.731550709,836.4639153406,838.6419923004,809.0381826279,833.1005151445,840.664904,30.3632082938,-2.8019920182,-1.6213447906,-1.1806472276,823.9166666667,829.5298095791,8.2136596045,-85.8066456199,-50.7887354545,-50.7887354545,-36.2266047472,9.0128755365,842.3060517588,833.38,824.4539482412,3.2,819.43,828.07,5.465671103,0.8397204576,2.3525774762,26.3045766726,-18411910,0.3125,348932.8124999951,0.0406409468
2024-06-07 12:45:00+05:30,824.95,827.0,822.9,825.2,1455877,840.0302275079,828.6910588261,832.0468642809,836.0616326499,838.3758142351,810.2793643651,832.6249311872,838.44311552,33.0234732486,-3.0333323906,-1.9037423106,-1.12959008,825.0333333333,828.6305143299,10.2185452903,-56.9855091331,-51.7420852512,-51.7420852512,-44.972249654,13.0901287554,842.4449408495,832.8825,823.3200591505,4.1,819.415,830.485,5.6922794603,1.4867283246,2.0389004794,42.1691677511,-16956033,0.1219512195,177545.9756097955,0.0546670838
2024-06-07 12:15:00+05:30,822.9,825.1,820.35,824.9,1091246,839.8796779805,827.9328470609,831.3971493463,835.6630029124,838.1089664284,810.0164279286,832.1043763047,836.4879416576,32.5999421533,-3.2039457035,-2.1637829892,-1.0401627143,823.45,827.5944114639,13.4101647772,-65.8545292008,-53.9132304742,-53.9132304742,-50.2164734693,18.1274900398,842.6870624445,832.51,822.3329375555,4.85,816.1275,829.3225,5.9278793668,1.2884978814,2.5574309977,33.5029045486,-18047279,0.9157894737000001,999351.5999999791,0.0628735104
2024-06-07 11:45:00+05:30,822.9,826.0,821.85,822.9,1848594,839.7107259608,826.9262776487,830.6246812239,835.2071813798,837.8077987764,808.2597851358,831.5304807469,834.2286298255,29.8512940665,-3.4606490603,-2.4231562034,-1.0374928569,823.5833333333,826.7921958378,13.792327115,-53.5052561457,-53.8504651929,-53.8504651929,-52.5736290932,10.1593625498,843.1074565043,832.115,821.1225434957,4.15,818.3225,829.5275,6.0162831448,1.1166981638,3.018611284,27.0039806678,-19895873,-0.49397590360000004,-913160.8915663004,0.0517568128
2024-06-07 11:15:00+05:30,822.4,824.5,820.05,823.0,1407157,839.5444500806,826.141022119,829.9315283853,834.7712106162,837.5145750382,808.4888066222,830.9198458622,832.28562165,30.1683306814,-3.6143551198,-2.6613959867,-0.9529591331,822.5166666667,825.9370900036,13.3003419393,-58.7302530478,-54.601201786,-54.601201786,-53.5267456761,11.6141732283,843.3108133278,831.63,819.9491866722,4.45,816.2675,828.2825,5.9148679511,1.7564541355,2.6161297795,40.1697067375,-18488716,0.32584269660000004,458511.8314606839,0.0598819611
2024-06-07 10:45:00+05:30,819.9,823.6,819.0,822.15,1213620,839.3713709753,825.3428176952,829.2241167139,834.3204530942,837.2103260276,807.70992596,830.2816390215,830.327922186,28.9698272733,-3.7613971309,-2.8813962155,-0.8800009154,821.5833333333,825.0663386695,11.2275995127,-61.061806139,-55.5951409172,-55.5951409172,-54.4900095926,11.9092627599,843.213586076,830.97,818.726413924,4.6,815.09,827.51,5.639368853,1.5222602507,3.0192283226,33.5189712836,-19702336,0.36956521740000003,448511.7391304146,0.0531347074
