date,open,high,low,close,volume,atr,rsi,sma,ema_20,ema_9,bb_h,bb_l,vwap,obv,ad_line,adx,aroon,macd,macd_diff,macd_signal
2024-07-23 13:00:00+05:30,3543.55,3551.0,3520.5,3521.3,271681,33.26366409391902,31.78919514746009,3634.9174999999996,3607.926082070999,3570.820684355202,3773.6008777891207,3496.2341222108785,3577.9895529478295,-284788,-77274.40767037091,48.970338475715295,-20.0,-30.104629526213557,-19.680269107870814,-10.424360418342745
2024-07-23 13:15:00+05:30,3520.55,3530.85,3514.9,3526.45,202980,32.02697380149622,33.102180793015364,3628.2949999999996,3600.1664552070947,3561.946547484162,3774.225315219285,3482.364684780714,3573.5789530044003,-81808,13716.626812384115,49.92672206719803,-20.0,-32.609622248234245,-17.7482094639132,-14.861412784321047
2024-07-23 13:30:00+05:30,3525.8,3533.2,3498.0,3499.05,258009,32.25361852996076,29.814004226694692,3620.3625,3590.5363166159427,3549.3672379873296,3775.964176967185,3464.7608230328156,3567.404778278419,-339817,-228899.7908012495,51.127331553333576,-20.0,-36.38635874271495,-17.219956766715118,-19.16640197599983
2024-07-23 13:45:00+05:30,3499.05,3517.8,3489.0,3516.0,231656,32.00693149210643,34.170364576871904,3613.7025000000003,3583.4376197953766,3542.693790389864,3775.091612008835,3452.3133879911657,3562.0195231976036,-108161,-26200.790801252268,52.38651282373797,-19.999999999999993,-37.57854421568163,-14.72971379174544,-22.848830423936192
2024-07-23 14:00:00+05:30,3516.9,3525.8,3502.2,3519.8,181886,31.406436385527428,35.14229127078772,3607.1425000000004,3577.3768941005787,3538.1150323118914,3772.5499553186773,3441.7350446813234,3556.8954847959344,73725,63200.80241908814,52.831594581727195,-20.0,-37.781213241901696,-11.945906254372403,-25.835306987529293
2024-07-23 14:15:00+05:30,3519.8,3522.0,3508.0,3516.6,176934,30.163119500846896,34.67797188579836,3598.8075000000003,3571.588618471952,3533.8120258495132,3764.8235633041277,3432.791436695873,3551.40067899403,-103209,103642.85956194298,53.23621436171741,-20.0,-37.764715034616074,-9.543526437669424,-28.22118859694665
2024-07-23 14:30:00+05:30,3515.9,3540.65,3512.7,3538.5,233580,30.005039536500707,40.47450811073784,3591.9600000000005,3568.4373214746233,3534.749620679611,3756.0525488862922,3427.8674511137087,3546.412839929974,130371,301287.4749465572,51.941374392037055,-20.0,-35.574413418827135,-5.8825798575043855,-29.69183356132275
2024-07-23 14:45:00+05:30,3538.3,3544.0,3526.0,3531.35,189523,29.147536712464944,39.24990840155463,3584.4849999999997,3564.9051956198973,3534.0696965436887,3745.287021442518,3423.6829785574814,3537.3649223240946,-59152,224425.36939099972,50.48044644623257,-20.0,-34.02332909399138,-3.465196426134902,-30.558132667856476
2024-07-23 15:00:00+05:30,3530.45,3540.6,3530.0,3540.05,311730,27.822712661574588,41.56661744467818,3576.8875,3562.538034132288,3535.2657572349513,3730.8660727788124,3422.9089272211872,3530.962095101914,252578,503806.029768374,49.152330131864865,-20.000000000000007,-31.72634474725146,-0.9345696635159833,-30.791775083735477
2024-07-23 15:15:00+05:30,3540.05,3542.3,3536.1,3542.0,309632,26.278233185747855,42.099591692396935,3569.5800000000004,3560.5820308815937,3536.6126057879615,3715.399619393277,3423.7603806067236,3523.4244870973307,562210,783473.642671583,47.776920871323775,-20.0,-29.4096037947088,1.1057370312213415,-30.515340825930142
