date,open,high,low,close,volume,atr,rsi,sma,ema_20,ema_9,bb_h,bb_l,vwap,obv,ad_line,adx,aroon,macd,macd_diff,macd_signal
2024-07-23 13:00:00+05:30,12541.5,12591.95,12527.3,12550.6,8935,72.63329917937423,43.564593848619786,12630.5025,12609.679876186621,12584.897631603628,12772.484820994552,12488.520179005449,12594.35331209935,11286,27817.494396334056,27.535321368195877,-48.0,-15.91419090598174,-17.542849222183552,1.6286583162018111
2024-07-23 13:15:00+05:30,12550.6,12599.0,12540.85,12582.65,10758,71.5987778094189,47.09740172446604,12627.3425,12607.105602264086,12584.448105282903,12770.62508887597,12484.059911124032,12589.545220291046,22044,32525.85381163913,29.174740031949806,-48.0,-15.826174391324457,-13.963866166021015,-1.8623082253034429
2024-07-23 13:30:00+05:30,12582.65,12591.2,12522.8,12541.5,8681,71.3702936801748,43.345600045121465,12622.1775,12600.857449667506,12575.858484226323,12769.947677894594,12474.407322105406,12586.618872300189,13363,28591.482466609974,30.9129550578172,-48.0,-18.859481402447273,-13.597738541715064,-5.261742860732209
2024-07-23 13:45:00+05:30,12545.5,12579.9,12520.95,12571.25,3747,70.48312984587652,46.654205105280546,12618.147500000001,12598.037692556316,12574.936787381059,12766.854233119251,12469.44076688075,12585.452558856261,17110,31238.853967882264,32.519543499628796,-48.0,-18.647861751305754,-10.708895112458837,-7.938966638846918
2024-07-23 14:00:00+05:30,12564.8,12647.45,12556.0,12607.05,8741,71.98076342831396,50.40746255529103,12617.15,12598.896007550953,12581.359429904847,12765.873468222066,12468.426531777934,12585.685889794646,25851,32256.805307411843,31.494332675281555,-48.0,-15.41371117845847,-5.979795631689241,-9.43391554676923
2024-07-23 14:15:00+05:30,12607.05,12613.25,12565.0,12579.25,7808,70.28570889772011,47.606417356747784,12610.9125,12597.024959212767,12580.93754392388,12754.932435686002,12466.892564314,12584.124894609027,18043,29060.784582023243,30.56232283496588,-48.0,-14.92184151393667,-4.390340773733952,-10.531500740202718
2024-07-23 14:30:00+05:30,12579.25,12630.9,12571.15,12623.3,6088,69.53315826216867,52.14421881881675,12607.827500000001,12599.527344049646,12589.410035139104,12747.958051540343,12467.69694845966,12579.278613151679,24131,33600.03813850853,29.109031800080118,-48.0,-10.85246395325521,-0.2567705704419936,-10.595693382813216
2024-07-23 14:45:00+05:30,12623.3,12642.0,12593.9,12635.0,9817,68.0022183862995,53.30112578937628,12607.3875,12602.905692235394,12598.528028111285,12747.11817621321,12467.656823786792,12570.744178247583,33948,40559.69926116967,27.406196674738634,-48.0,-6.607197044422719,3.1907970707123976,-9.797994115135117
2024-07-23 15:00:00+05:30,12634.2,12646.75,12603.6,12611.7,17440,66.22705993013523,50.673867206250854,12607.6075,12603.743245355832,12601.16242248903,12747.350787048073,12467.864212951927,12567.706601499807,16508,29667.27747669725,25.688026263349844,-48.0,-5.064526992837273,3.786773697838276,-8.851300690675549
2024-07-23 15:15:00+05:30,12611.7,12641.95,12603.8,12625.4,17114,64.22155564941139,52.1668164844182,12608.3775,12605.805793417181,12606.009937991224,12748.334580831948,12468.420419168053,12561.483549100829,33622,31932.695563197492,24.126053162087306,-48.00000000000001,-2.705289465322494,4.916808980282444,-7.622098445604938
